already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 2010040268.xml | 4995 | VIA Kanizsa Városüzemeltető Nonprofit Zrt. | Via Kanizsa Városüzemeltető Nonprofit Zártkörűen Működő Részvénytársaság
MATCHED:     | 109060965.xml | 3818 | Italcamion Kereskedelmi Kft. | ITALCAMION SZERVIZ KFT
MATCHED:     | 609002195.xml | 251 | Szentesi Vasútépítő Kft. | Szentesi Vasútépítő Korlátolt Felelősségű Társaság
MATCHED:     | 109674517.xml | 4285 | BAU-Vertikál Építőipari Kft. | BAU-VERTIKÁL Építőipari Kft.
MATCHED:     | 109873891.xml | 7304 | Inteszt Kft. | Inteszt Méréstechnika, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 409003319.xml | 7264 | Békés-Bau Kft. | BÉKÉS-BAU Építő és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1509068883.xml | 3728 | Szatmár Bútorgyár Kft. | SZATMÁR BÚTORGYÁR Korlátolt Felelősségű Társaság
MATCHED:     | 1309135731.xml | 4353 | VÁROSKERT GÉPIPARI ÉS KERESKEDELMI KFT. | Városkert Gépipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1610001716.xml | 2104 | Jászapáti 2000 Zrt. | Jászapáti 2000. Mezőgazdasági Zártkörű Részvénytársaság
MATCHED:     | 409009948.xml | 7133 | Bogármérnökség Kft. | BOGÁRMÉRNÖKSÉG Ingatlanhasznosító Kft.
MATCHED:     | 109078221.xml | 1656 | Köbal Kőbányai Könnyűfémmű Kft. | KÖBAL Könnyűfémmű Korlátolt Felelősségű TársaságKÖBAL Könnyűfémmű Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 106514272.xml | 1605 | Látvány és Forma Iparművészeti Bt. | LÁTVÁNY ÉS FORMA Iparművészeti Betéti Társaság
MATCHED:     | 110042236.xml | 374 | CD Hungary Rt. | CD Hungary Ingatlanforgalmazó és Szolgáltató Részvénytársaság
MATCHED:     | 209073064.xml | 7010 | AZ ORMÁNSÁG EGÉSZSÉGÉÉRT NONPROFIT Kft. | "AZ ORMÁNSÁG EGÉSZSÉGÉÉRT" NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 106214630.xml | 5714 | Lipcsei és Társa Bt. | LIPCSEI & TÁRSA Épitőipari és Szolgáltató Betéti Társaság
MATCHED:     | 1309080484.xml | 4909 | S-Metalltech 98 Anyagtechnológiai Kutató-Fejlesztő Kft. | S-METALLTECH 98 Anyagtechnológiai Kutató- Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 109063022.xml | 20463 | PricewaterhouseCoopers Könyvvizsgáló és Gazdasági Tanácsadó Korlátolt Felelősségű Társaság | PricewaterhouseCoopers Könyvvizsgáló Korlátolt Felelősségű Társaság
MATCHED:     | 109868974.xml | 3106 | Sapienza Kft. | SAPIENZA Oktatási Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109460452.xml | 781 | Qwerty Computer Kft. | QWERTY COMPUTER Számítástechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 709002015.xml | 4175 | Füri Kft. | Füri Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109924371.xml | 4176 | Mary-Ker Pasta Kft. | MARY-KER Pasta Tésztagyártó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110042409.xml | 467 | ATEV Fehérjefeldolgozó Rt. | ATEV Fehérjefeldolgozó Zártkörűen Működő Részvénytársaság
MATCHED:     | 1109003931.xml | 4884 | Bábolna Bio Kft. | Bábolna Bio WOOD Faaprítékalapú Bioenergetikai Rendszer Korlátolt Felelősségű Társaság
MATCHED:     | 1709001743.xml | 6046 | Decsi Pék Kft. | Decsi Pék Sütőipari Kft
MATCHED:     | 109721437.xml | 323 | Király 27 Kft. | KIRÁLY 27 Ingatlanforgalmazó és Ingatlanfejlesztési Korlátolt Felelősségű Társaság
MATCHED:     | 1009029709.xml | 4728 | Markhot Ferenc Kórház Egészségügyi Szolgáltató Nonprofit Kiemelkedően Közhasznú Korlátolt Felelősségű Társaság | Markhot Ferenc Kórház Egészségügyi Szolgáltató Nonprofit Kiemelkedően Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 1309103836.xml | 4432 | CONSTRUM Beruházó és Kivitelező Kft. | Construm Beruházó és Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 109706332.xml | 1444 | West-Balkán Kft. | West-Balkán Vendéglátó Korlátolt Felelősségű Társaság
MATCHED:     | 609009231.xml | 7345 | Fárosz Nyomda Kft. | FÁROSZ NYOMDA Nyomdaipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609004854.xml | 5279 | PROTETIM Orvosi Műszergyártó Kft. | Protetim Orvosi Műszergyártó Kft.
MATCHED:     | 109704301.xml | 3395 | Mészáros és Mészáros Kft. | "MÉSZÁROS" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109721784.xml | 712 | JeT-SOL Kft. | JeT-SOL Számítástechnikai Szolgáltató Kereskedelmi és Beruházási Korlátolt Felelősségű Társaság
MATCHED:     | 1709002165.xml | 7545 | SZEKSZÁRD-PAKSI Kft. | Szekszárd-Paksi Vízgazdálkodási és Környezetvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809003143.xml | 6847 | Kiss BVM Kft. | KISS BVM Ipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1906504327.xml | 2256 | Voix Mixte Művészeti és Szolgáltató Bt | "VOIX MIXTE" Művészeti és Szolgáltató Betéti Társaság
MATCHED:     | 1209005950.xml | 604 | LL Bus Kft. | LL Bus Korlátolt Felelősségű Társaság
MATCHED:     | 109912506.xml | 7085 | KEIOK Közép-Európai Innovációs és Oktatási Központ Kft. | KEIOK Közép-Európai Innovációs és Oktatási Központ Korlátolt Felelősségű Társaság
MATCHED:     | 110043857.xml | 901 | Open Consulting Rt. | OPEN CONSULTING Befektetési és Tanácsadó Zártkörűen Működő Részvénytársaság
MATCHED:     | 1309069543.xml | 6165 | Csiló és Társa Vendéglátó, Kereskedelmi és Szolgáltató Kft. | Csiló és Társa Vendéglátó Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909000403.xml | 7571 | Háló és Marco Kft. | Háló & Marco Nyilászáró Gyártó és Forgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 909010635.xml | 6136 | Inter Alia Bau Kft. | INTER ALIA BAU Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 309114269.xml | 5720 | Szabó Kontakt Kft. | SZABÓ KONTAKT ELEKTROMOS TERVEZÉSI és KIVITELEZÉSI Korlátolt Felelősségű Társaság
MATCHED:     | 109722934.xml | 436 | Reál Véd-Delta Kft. | Reál Véd-Delta Vagyonvédelmi Kft.
MATCHED:     | 109920836.xml | 1804 | Duna Palota Kft. | Duna Palota Kulturális Kiemelkedően Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 110045392.xml | 1426 | Saxum Investments Zrt. | SAXUM Corporate Finance Zártkörűen Működő Részvénytársaság
MATCHED:     | 1906508040.xml | 6584 | HEXOLUT Bt. | HEXOLUT Tanácsadó Betéti Társaság
MATCHED:     | 710001389.xml | 597 | Albacomp Zrt. | ALBACOMP IT Informatikai Zártkörűen Működő Részvénytársaság
MATCHED:     | 110043684.xml | 999 | Lánchíd Vagyonkezelő és Befektetési Zrt. | "Lánchíd Hitel és Faktor" Finanszírozási Zártkörűen Működő Részvénytársaság
MATCHED:     | 1009021280.xml | 4684 | „MILL” 94 Kereskedelmi és Szolgáltató Kft. | "MILL" Kereskedelmi és Szolgáltató  Korlátolt Felelősségű Társaság"MILL" 94. Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109908954.xml | 2615 | Bábolna Baromfitenyésztő Farm Kft. | Bábolna Baromfitenyésztő Farm Korlátolt Felelősségű Társaság
MATCHED:     | 1610001515.xml | 2384 | Kuntej Rt. | KUNTEJ Zártkörűen Működő Részvénytársaság
MATCHED:     | 1309060851.xml | 6839 | Halastó Camping Kft. | "HALASTÓ CAMPING" Korlátolt Felelősségű Társaság
MATCHED:     | 109887753.xml | 3071 | BKV Közbeszerzés Kft. | BKV KÖZBESZERZÉS Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909015915.xml | 5619 | Morotva-Víz-Energia Kft. | MOROTVA-VÍZ-ENERGIA Korlátolt Felelősségű Társaság
MATCHED:     | 109734222.xml | 2219 | Agrotrust Consulting 2004 Kft. | Agrotrust Consulting 2004 Agrárgazdasági Tanácsadó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 909007144.xml | 7327 | NNK Környezetgazdálkodási, Számítástechnikai, Kereskedelmi és Szolgáltató Kft. | NNK Környezetgazdálkodási, Számítástechnikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110044983.xml | 528 | Mega-Logistic Rt. |  MEGA-LOGISTIC Beruházási és Üzemeltetési Zártkörűen Működő Részvénytársaság
MATCHED:     | 1010020024.xml | 3768 | Mátrai Erőmű ZRt. | Mátrai Erőmű Zártkörűen Működő Részvénytársaság
MATCHED:     | 509004319.xml | 6233 | Spidi-Therm Kft. | SPIDI-THERM Kivitelező, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109264475.xml | 1786 | Média Menedzser Oktató Kft. | MÉDIA MENEDZSER Oktató Kft.
MATCHED:     | 709009707.xml | 78 | EMFESZ Kft. | EMFESZ Első Magyar Földgáz és Energiakereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109568401.xml | 7277 | ULRICH TRADE Kereskedelmi Kft. | ULRICH TRADE Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 509016749.xml | 5536 | Kék-Kreatúra Rekreációs és Turisztikai Nonprofit Kft. | KÉK-KREATÚRA Rekreációs és Turisztikai Szolgáltató Nonprofit Kft.
MATCHED:     | 109667656.xml | 207 | SAP Hungary Kft. | SAP Hungary Rendszerek, Alkalmazások és Termékek az Adatfeldolgozásban Korlátolt Felelősségű TársaságSAP Hungary Rendszerek, Alkalmazások és Termékek az Adatfeldolgozásban Informatikai Korlátolt Felelősségű Társaság
MATCHED:     | 109921734.xml | 4029 | Educatio Társadalmi Szolgáltató Nonprofit Korlátolt Felelősségű Társaság | Educatio Társadalmi Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 909016747.xml | 375 | Hortobágyi Természetvédelmi és Génmegőrző Nonprofit Kft. | Hortobágyi Természetvédelmi és Génmegőrző Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 509020568.xml | 5264 | Dankó és Társa Kft. | Dankó Csaba és Társa Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045727.xml | 7161 | RSM-DTM Adótanácsadó-és Pénzügyi Szolgáltató Zrt. | RSM DTM Hungary Adótanácsadó és Pénzügyi Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 1509067017.xml | 5563 | Szabados-Ok Kft. | "SZABADOS-OK" Forgalom Technika és Reklámtevékenység Korlátolt Felelősségű Társaság
MATCHED:     | 909000975.xml | 6315 | KEM-BER Beruházó- Tervező és Kereskedelmi Kft. | KEM-BER Beruházó , Tervező és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 909011237.xml | 3663 | Black Tower KFT | BLACK TOWER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045704.xml | 1449 | Genertel Biztosító Zrt. | Genertel Biztosító Zrt.
MATCHED:     | 109739964.xml | 3876 | Immofix Kft. | IMMOFIX Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 509018416.xml | 5923 | Szilvási Építő Kft. | SZILVÁSI Építő, Beruházó, Kereskedő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1310040091.xml | 545 | Hérosz Rt. | HÉROSZ Építőipari Részvénytársaság
MATCHED:     | 509014321.xml | 3626 | X-Centrum Kft | X-CENTRUM Innovációmenedzsment Kutató és Szolgáltató Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109561285.xml | 811 | Hortobágy Consulting Kft. | Hortobágy Consulting & Managment Kft.
MATCHED:     | 109068752.xml | 3288 | Kime-Net Számítástechnikai Kft. | KIME-NET Számítástechnikai Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109903106.xml | 878 | Holiday Television Kft. | Holiday Television Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109668279.xml | 3826 | ERANDO Biztonságtechnikai Tanácsadó és Kereskedelmi Kft. | ERANDO Biztonságtechnikai Tanácsadó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109869748.xml | 3145 | House-Line Kft. | HOUSE-LINE 2004 Műszaki Ellenörző és Beruházás-irányító Korlátolt Felelősségű Társaság
MATCHED:     | 509000460.xml | 5766 | GEOSERVICE Kft. | "GEOSERVICE" Geofizikai,Geológiai és Kutszelvényező Korlátolt Felelősségű Társaság
MATCHED:     | 1209004009.xml | 825 | Well Done Kft. | Well Done Agency Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109726045.xml | 1596 | Király Garden Kft. | KIRÁLY GARDEN Ingatlanforgalmazó és Beruházó Korlátolt Felelősségű Társaság
MATCHED:     | 110043962.xml | 5140 | Eurotronik Zrt. | EUROTRONIK Kereskedelmi, Szolgáltató és Tanácsadó Zártkörűen működő Részvénytársaság
MATCHED:     | 109074819.xml | 2848 | Rodexco Kft. | RODEXCO Általános Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809017124.xml | 6848 | SOPRONTISZK Szakképzés-szervezési Nonprofit Kiemelkedően Közhasznú Kft. | SOPRONTISZK Szakképzés-szervezési Nonprofit Kiemelkedően Közhasznú Korlátolt Felelősségű Társaság
MATCHED:     | 109728757.xml | 1048 | KNB-Fuente Kft. | KNB-FUENTE Ingatlanforgalmazó és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109467610.xml | 3892 | Unomarket Kft. | UNOMARKET Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109687972.xml | 6644 | Kamion Fényező Ipari, Kereskedelmi és Szolgáltató Kft. | KAMION FÉNYEZŐ Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109957111.xml | 1253 | Patrícius Kft. | Patrícius Line Korlátolt Felelősségű Társaság
MATCHED:     | 110043759.xml | 3346 | Westpharma Rt. | WESTPHARMA Gyógyszerkereskedelmi RészvénytársaságPHOENIX Ingatlankezelő Részvénytársaság
MATCHED:     | 809003568.xml | 5107 | KULTÚRMÉRNÖK Építőipari és Kereskedelmi Kft. | KULTÚRMÉRNÖK Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1809101965.xml | 6202 | Sárvári Security Service Kft. | SÁRVÁRI SECURITY SERVICE SZEMÉLY és VAGYONVÉDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 1310041005.xml | 69 | Grupo Milton Zrt. | GRUPO MILTON MANAGEMENT Szervező és Lebonyolító Zártkörűen Működő Részvénytársaság
MATCHED:     | 1309089988.xml | 6143 | Kert Stúdió Kft. | KERT STÚDIÓ Kertészeti, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 210060097.xml | 273 | Dél-Dunántúli Regionális Fejlesztési Zrt. | Dél-Dunántúli Regionális Fejlesztési Részvénytársaság zártkörűen működő
MATCHED:     | 110041457.xml | 739 | Kossuth Holding Rt. | Kossuth Holding Vagyonkezelő Részvénytársaság
MATCHED:     | 309113022.xml | 5578 | BÁCSKA-MED Gyógyító, Kereskedelmi és Szolgáltató Kft. | BÁCSKA-MED Gyógyító, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045777.xml | 1571 | EU Posta Zrt. | EU Posta Zártkörűen Működő Részvénytársaság
MATCHED:     | 109169554.xml | 4503 | RENOVIT Építőipari Kft. | RENOVIT Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 109921721.xml | 3903 | HUNGAROFEST Nemzeti Rendezvényszervező Nonprofit Kft. | Hungarofest Nemzeti Rendezvényszervező Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 209067037.xml | 21617 | EKOFUTUR Környezettechnológiai Termelő és Szolgáltató Korlátolt Felelősségű Társaság | EKOFUTUR Környezettechnológiai Termelő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309100843.xml | 5906 | GLEDICIA Kft. | "GLEDICIA" Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109263603.xml | 4753 | Gerontex Kft. | Gerontex Gyógyászati Segédeszköz Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109881811.xml | 808 | Conpab Tanácsadó Kft. | CONPAB Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109666807.xml | 208 | RTL Klub | Klub Interaktív Korlátolt Felelősségű Társaság
MATCHED:     | 110043569.xml | 1284 | Euroweb Rt. | Euroweb Internet Szolgáltató RészvénytársaságEuroWeb Internet Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 1109016624.xml | 2036 | Agimpex Kft. | AGIMPEX 2009 Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109711046.xml | 2591 | Szám-Szint Kft. | SZÁM-SZINT Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109703108.xml | 2351 | ICG Infora Consulting Group Kft | ICG Integrated Consulting Group Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1009022388.xml | 5280 | Sanatmetal Ortopédiai és Traumatológiai Eszközöket Gyártó Kft. | Sanatmetal Ortopédiai és Traumatológiai Eszközöket Gyártó Korlátolt Felelősségű Társaság
MATCHED:     | 310100182.xml | 2842 | Sepsiker Rt. | "SEPSIKER" Kereskedelmi és Szolgáltató Részvénytársaság
MATCHED:     | 1609004142.xml | 5762 | Trend-Papír SIMON Kft. (Assist-Trend Alföld Kft.) | Assist-Trend Alföld Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309070875.xml | 4223 | ALLEGRO Kft. | "ALLEGRO" B" Kereskedelmi és Tőkebefektetési Kft.
MATCHED:     | 809012947.xml | 6481 | Cseh 92 Kft. | Cseh 92 Építési és Ingatlanforgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 306105918.xml | 1867 | A Gyorsabb Ügymenetért Bt. | A Gyorsabb Ügymenetért Kereskedelmi és Szolgáltató Betéti Társaság "végelszámolás alatt"
MATCHED:     | 1410300230.xml | 7317 | FGSZ Földgázszállító Zrt. | FGSZ Földgázszállító Zártkörűen Működő Részvénytársaság
MATCHED:     | 1709007442.xml | 6129 | ETS Kft. | ETS AUDIO Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809018055.xml | 5198 | SOPÉPSZOLG Kft. | SOPÉPSZOLG Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 309107676.xml | 4556 | Bácska Mérnöki Szolgáltató Kft. | Bácska Mérnöki Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1809106597.xml | 623 | ES-Invest Kft. | ES-INVEST 2005 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909002877.xml | 6091 | EH-SZER Kft. | EH-SZER Energetikai és Távközlési Hálózatépítő és Szerelő Korlátolt Felelősségű Társaság
MATCHED:     | 1706004592.xml | 6047 | Amaretto Plusz Bt. | Amaretto Plusz Kereskedelmi Betéti Társaság
MATCHED:     | 1409300297.xml | 7408 | BÜTTNER KFT. | Büttner és Társai Szerszámelemgyártó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 506011262.xml | 4160 | Abaker Bt. | ABAKER Kereskedelmi Betéti Társaság
MATCHED:     | 109708329.xml | 345 | Digital Natives Kft. | DIGITAL NATIVES Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109015549.xml | 7585 | Help Rehabilitációs Foglalkoztató Kiemelten Közhasznú Nonprofit Kft | HELP Rehabilitációs Foglalkoztató Kiemelten Közhasznú Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 1906504672.xml | 4073 | Ferenczi és Társai Bt. | "Ferenczi és társai" Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109268781.xml | 697 | Mahart Passnave Kft. | M A H A R T - PassNave Személyhajózási Korlátolt Felelősségű Társaság
MATCHED:     | 110045129.xml | 6509 | OKKER Oktatási, Kiadói és Kereskedelmi Zrt. | OKKER Oktatási, Kiadói és Kereskedelmi zártkörűen működő Részvénytársaság
MATCHED:     | 709016741.xml | 4759 | Székesfehérvár Városgondnoksága Kft. | Székesfehérvár Városgondnoksága Korlátolt Felelősségű Társaság
MATCHED:     | 109265791.xml | 5149 | Fősped Tehertaxi Kft. | "FŐSPED" Tehertaxi Kft
MATCHED:     | 109736920.xml | 7307 | Forina Kereskedelmi és Szolgáltató Kft. | FORINA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109697505.xml | 2561 | SL Properties Kft. | SL District 14 Ingatlanforgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 909003201.xml | 3220 | Hajdúböszörményi Városgazdálkodási Kft. | Hajdúböszörményi Városgazdálkodási Korlátolt Felelősségű Társaság
MATCHED:     | 809011672.xml | 7497 | Zanza Kereskedőház Nyomdaipari és Nagykereskedelmi Kft. | Zanza kereskedőház Nyomdaipari és Nagykereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309062424.xml | 1226 | Trend-Fix Kft. | TREND-FIX Ipari Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809010978.xml | 816 | Szenior 2003 Kft. | Szenior 2003 Szabadidő Szervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809012039.xml | 6120 | ARCHI.DOC Építésziroda Kft. | ARCHI. DOC Építésziroda Korlátolt Felelősségű Társaság
MATCHED:     | 109261689.xml | 5046 | Standomix Color Kereskedelmi és Szolgáltató Kft. | STANDOMIX COLOR Kereskedelmi és Szolgáltató Kft
MATCHED:     | 109068168.xml | 5092 | RESONATOR VÁLLALKOZÁSI ÉS KERESKEDELMI KFT. | Resonator Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309087249.xml | 6394 | TURA-TERV Mérnökiroda Kft. | TURA-Terv Mérnökiroda Korlátolt Felelősségű Társaság
MATCHED:     | 1109001352.xml | 4470 | „PICKUP” Elektronikai Kereskedelmi és Szolgáltató Kft. | "PICKUP" Elektronikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 409008575.xml | 5613 | BÁTERV Kft. | BÁTERV Építőmérnöki és Bányamérnöki Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106720638.xml | 6899 | Tér és Terület Bt. | TÉR + TERV Terület- és Településtervezési, Építészeti Bt.
MATCHED:     | 110043012.xml | 1488 | Dermo Trade Rt. | DERMO TRADE Gyártó és Kereskedő Részvénytársaság "felszámolás alatt"
MATCHED:     | 1310040449.xml | 509 | Sláger Rádió Rt. | Sláger Rádió Műsorszolgáltató Részvénytársaság
MATCHED:     | 1309093791.xml | 3672 | Hard Like Stone Kft. | HARD LIKE STONE Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 1309078681.xml | 7146 | Tanpálya Vezetéstechnikai Centrum Kft. | "Tanpálya" Vezetéstechnikai Centrum Korlátolt Felelősségű Társaság
MATCHED:     | 1310040901.xml | 1100 | Future FM Zrt. | Future FM Létesítménygazdálkodási Zártkörűen Működő Részvénytársaság
MATCHED:     | 109062148.xml | 7137 | BUDATA Informatikai és Szolgáltató Kft. | BUDATA Informatikai és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109731385.xml | 5413 | Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság | Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság
MATCHED:     | 110043747.xml | 790 | Tiara Rt. | TIARA Gazdaságszervező és Tőkebefektetési Zártkörűen Működő Részvénytársaság
MATCHED:     | 1509065718.xml | 5890 | HARCON ÉPÍTÉS KFT | HARCON ÉPITÉS Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 2009063917.xml | 5792 | NÍVÓDOM Kft. | NÍVÓDOM Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309114463.xml | 1850 | Perkons Kft. | Perkons Bio Energiatermelő Korlátolt Felelősségű Társaság
MATCHED:     | 109071592.xml | 3625 | ACD Kft. | "ACD" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság Felszámolás alatt
MATCHED:     | 709003218.xml | 2454 | Walter Kft. | "WALTER" Bőripari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309070613.xml | 5322 | Hornyák Kft. | "Hornyák" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309102040.xml | 1600 | Sensation Event Marketing Kft. | SENSATION 360 KOMMUNIKÁCIÓS Ügynökség Korlátolt Felelősségű Társaság
MATCHED:     | 109660300.xml | 4918 | Hamu-Fruit Kft. | HAMU-FRUIT KERESKEDELMI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 1309096273.xml | 4117 | EuroAszfalt Építő és Szolgáltató Kft. | EuroAszfalt Építő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109012886.xml | 2905 | Regia Civitas Kft. | REGIA CIVITAS Szálloda és Fürdő Beruházó és Üzemeltető Korlátolt Felelősségű Társaság
MATCHED:     | 1609009678.xml | 4402 | Szolnoki Szimfonikus Zenekar Nonprofit Kft. | Szolnoki Szimfonikus Zenekar Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 110042418.xml | 656 | Fővárosi Csatornázási Művek Zrt. | Fővárosi Csatornázási Művek Zártkörűen Működő Részvénytársaság
MATCHED:     | 1309076731.xml | 2915 | Sun-Residence Kft | SUN-RESIDENCE Kereskedelmi és Ingatlanforgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 109075505.xml | 447 | Buda-Hold Kft. | "BUDA-HOLD" Vállalkozás Szervezési és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109067669.xml | 6774 | Dialab Kft. | DIALAB Korlátolt Felelősségű Társaság
MATCHED:     | 1309092068.xml | 23133 | AXIOMA 2000 Kereskedelmi, Számviteli, Szolgáltató és Vagyonkezelő Korlátolt Felelősségű Társaság | AXIOMA 2000 Kereskedelmi, Számviteli, Szolgáltató, Oktató és Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 109729345.xml | 5627 | 2REPUBLIC BTL Reklámügynökség Kft. | 2Republic BTL Reklámügynökség, Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110046038.xml | 2659 | Euromental Zrt. | EUROMENTAL Szakértő zártkörűen működő Részvénytársaság
